iter	Passed	Remaining
790	1126	297
791	1127	296
792	1128	294
793	1129	293
794	1131	291
795	1132	290
796	1133	288
797	1134	287
798	1135	285
799	1136	284
800	1137	282
801	1139	281
802	1140	279
803	1141	278
804	1142	276
805	1143	275
806	1144	273
807	1145	272
808	1147	270
809	1148	269
810	1149	267
811	1150	266
812	1152	265
813	1153	263
814	1154	262
815	1155	260
816	1156	259
817	1157	257
818	1158	256
819	1159	254
820	1160	253
821	1162	251
822	1163	250
823	1164	248
824	1165	247
825	1166	245
826	1167	244
827	1168	242
828	1169	241
829	1171	239
830	1172	238
831	1173	236
832	1174	235
833	1175	234
834	1176	232
835	1178	231
836	1179	229
837	1180	228
838	1181	226
839	1182	225
840	1184	223
841	1185	222
842	1186	220
843	1187	219
844	1188	218
845	1189	216
846	1190	215
847	1191	213
848	1193	212
849	1194	210
850	1195	209
851	1196	207
852	1197	206
853	1198	204
854	1200	203
855	1201	202
856	1202	200
857	1203	199
858	1204	197
859	1205	196
860	1207	194
861	1208	193
862	1209	191
863	1210	190
864	1211	189
865	1212	187
866	1213	186
867	1214	184
868	1216	183
869	1217	181
870	1218	180
871	1219	179
872	1220	177
873	1221	176
874	1223	174
875	1224	173
876	1225	171
877	1226	170
878	1227	169
879	1228	167
880	1230	166
881	1231	164
882	1232	163
883	1233	161
884	1234	160
885	1235	158
886	1236	157
887	1238	156
888	1239	154
889	1240	153
890	1241	151
891	1242	150
892	1243	149
893	1245	147
894	1246	146
895	1247	144
896	1248	143
897	1249	141
898	1251	140
899	1252	139
900	1253	137
901	1254	136
902	1256	134
903	1257	133
904	1258	132
905	1259	130
906	1260	129
907	1261	127
908	1262	126
909	1264	125
910	1265	123
911	1266	122
912	1267	120
913	1268	119
914	1269	117
915	1270	116
916	1272	115
917	1273	113
918	1274	112
919	1275	110
920	1276	109
921	1277	108
922	1278	106
923	1279	105
924	1280	103
925	1282	102
926	1283	101
927	1284	99
928	1285	98
929	1286	96
930	1287	95
931	1288	94
932	1289	92
933	1291	91
934	1292	89
935	1293	88
936	1294	87
937	1295	85
938	1297	84
939	1298	82
940	1299	81
941	1300	80
942	1301	78
943	1303	77
944	1304	75
945	1305	74
946	1306	73
947	1307	71
948	1309	70
949	1310	68
950	1311	67
951	1312	66
952	1313	64
953	1315	63
954	1316	62
955	1317	60
956	1318	59
957	1319	57
958	1320	56
959	1322	55
960	1323	53
961	1324	52
962	1325	50
963	1326	49
964	1327	48
965	1329	46
966	1330	45
967	1331	44
968	1332	42
969	1333	41
970	1335	39
971	1336	38
